Compound,Eg_EV,kL,Density,EV_rank,kL_rank,density_rank,rank_avg,Fractional_Favourable
BiPtO3,0.540117889,1.62,11.129,7,14,1,7.333333333,0.7555555556
Pt1Si1Te1,0.18,3.32,9.377,5,22,6,11,0.6333333333
BaPtO3,0.088466737,3.87,8.914,1,25,9,11.66666667,0.6111111111
SrPtO3,0.148588346,2.42,8.191,4,20,11,11.66666667,0.6111111111
RbPtO3,0.148431575,2.97,7.887,3,21,13,12.33333333,0.5888888889
VPtO3,0.837260516,2.33,8.805,11,17,10,12.66666667,0.5777777778
K2Pt4Se6,1.02,0.86,6.848,14,5,20,13,0.5666666667
Pt1Rb2Te2,1.07,0.71,5.685,15,1,23,13,0.5666666667
Cu2Pt4S8,0.35,2.39,7.536,6,19,15,13.33333333,0.5555555556
Pt4Rb2Se6,1.09,0.83,6.947,17,4,19,13.33333333,0.5555555556
InPtO3,0.765309548,3.43,9.081,10,23,8,13.66666667,0.5444444444
Pt1Se1Si1,0.56,5.79,9.234,8,28,7,14.33333333,0.5222222222
Ge1Pt1S1,0.63,5.87,9.502,9,29,5,14.33333333,0.5222222222
K2Pt1Te2,0.91,0.8,5.206,13,3,27,14.33333333,0.5222222222
Pt1S1,0.9,19.89,10.722,12,30,2,14.66666667,0.5111111111
Na2Pt4Se6,1.393,1.02,7.564,23,7,14,14.66666667,0.5111111111
KPtO3,0.124544783,5.68,7.072,2,27,16,15,0.50
BePtO3,1.077603258,5.68,9.741,16,26,4,15.33333333,0.4888888889
NiPtO3,1.204493106,2.19,8.104,19,16,12,15.66666667,0.4777777778
Pt1Rb2Se2,1.32,0.86,5.685,22,6,24,17.33333333,0.4222222222
Pt3Rb2S4,1.76,0.71,6.151,29,2,21,17.33333333,0.4222222222
BPtO3,1.507472977,3.59,10.292,26,24,3,17.66666667,0.4111111111
Na2Pt1Se2,1.13,1.2,5.665,18,11,25,18,0.40
K2Pt1Se2,1.26,1.02,5.094,20,8,28,18.66666667,0.3777777778
Ba1Pt2S3,1.3,2.36,7.025,21,18,17,18.66666667,0.3777777778
K2Pt4S6,1.44,1.12,6.029,24,10,22,18.66666667,0.3777777778
Pt1Rb2S2,1.59,1.05,5.234,28,9,26,21,0.30
Ba4O6Pt1,1.99,1.81,6.959,30,15,18,21,0.30
Na2Pt1S2,1.47,1.58,4.9,25,13,29,22.33333333,0.2555555556
K2Pt1S2,1.58,1.3,4.476,27,12,30,23,0.2333333333